日期,主口径_电费收入(元),主口径_电费成本(元),主口径_净收益(元),主口径_放电电量(kWh),主口径_充电电量(kWh),主口径_单位收益(元/kWh),物理模型_电费收入(元),物理模型_电费成本(元),物理模型_净收益(元),物理模型_放电电量(kWh),物理模型_充电电量(kWh),物理模型_单位收益(元/kWh),样本模型_电费收入(元),样本模型_电费成本(元),样本模型_净收益(元),样本模型_放电电量(kWh),样本模型_充电电量(kWh),样本模型_单位收益(元/kWh)
2024-12-25,12627.731066999999,4554.032194465486,8073.698872534513,15222.199999999999,17906.700984843847,0.5303897513194225,8695.052030451297,4339.295972535707,4355.756057915591,10481.520418487999,17062.346541898813,0.4155652886228815,12627.731066999999,4554.032194465486,8073.698872534513,15222.199999999999,17906.700984843847,0.5303897513194225
2024-12-26,10097.495436,3544.212308430695,6553.283127569304,11846.800000000001,13936.034556584993,0.5531690521971591,6952.8126412754655,3377.0921106959577,3575.720530579508,8157.327856272,13278.90889704293,0.4383445895006182,10097.495436,3544.212308430695,6553.283127569304,11846.800000000001,13936.034556584993,0.5531690521971591
2024-12-27,11960.34852,4055.4347476249395,7904.91377237506,13555.6,15946.1888472198,0.5831474646917185,8235.5137381333,3864.208884741038,4371.304853392263,9333.952923024,15194.278408072656,0.4683230019951776,11960.34852,4055.4347476249395,7904.91377237506,13555.6,15946.1888472198,0.5831474646917185
2024-12-28,13774.099139999998,4965.032537960954,8809.066602039045,16596.0,19522.77657266811,0.5307945650782746,9484.404447595483,4730.91642208108,4753.4880255144035,11427.47519184,18602.219338160896,0.41597010238173343,13774.099139999998,4965.032537960954,8809.066602039045,16596.0,19522.77657266811,0.5307945650782746
2024-12-29,13774.09914,4965.032537960954,8809.066602039045,16596.0,19522.77657266811,0.5307945650782746,9484.404447595485,4730.91642208108,4753.488025514405,11427.47519184,18602.219338160896,0.4159701023817336,13774.09914,4965.032537960954,8809.066602039045,16596.0,19522.77657266811,0.5307945650782746
2024-12-30,13774.09914,4965.032537960954,8809.066602039045,16596.0,19522.776572668114,0.5307945650782746,9484.404447595483,4730.91642208108,4753.4880255144035,11427.47519184,18602.219338160896,0.41597010238173343,13774.09914,4965.032537960954,8809.066602039045,16596.0,19522.776572668114,0.5307945650782746
2024-12-31,11339.608224,4027.342643785789,7312.265580214211,13461.7,15835.729174999171,0.5431903533888149,7808.091809167561,3837.4414075155973,3970.650401651964,9269.296384067999,15089.02723936614,0.4283658906922741,11339.608224,4027.342643785789,7312.265580214211,13461.7,15835.729174999171,0.5431903533888149
2025-01-01,13371.002741999999,5192.143110563191,8178.859631436808,15734.199999999997,18508.99440525877,0.5198141393548328,9206.845150893563,4947.318052752649,4259.527098140914,10834.067254967998,17636.24002834967,0.3931604814607084,13371.002741999999,5192.143110563191,8178.859631436808,15734.199999999997,18508.99440525877,0.5198141393548328
2025-01-02,12486.396964635696,5000.714546082429,7485.682418553268,15154.0974768,17826.588286334052,0.49397085045898587,8597.733884601148,4764.915916929111,3832.8179676720374,10434.62719756912,16986.011396439157,0.3673171925648615,12486.396964635696,5000.714546082429,7485.682418553268,15154.0974768,17826.588286334052,0.49397085045898587
2025-01-03,14213.006603999998,5476.529284164859,8736.47731983514,16596.0,19522.77657266811,0.526420662800382,9786.622099823333,5218.294568740894,4568.327531082439,11427.475191839998,18602.219338160896,0.3997670049062578,14213.006603999998,5476.529284164859,8736.47731983514,16596.0,19522.77657266811,0.526420662800382
