年月,主口径_电费收入(元),主口径_电费成本(元),主口径_净收益(元),主口径_放电电量(kWh),主口径_充电电量(kWh),主口径_单位收益(元/kWh),物理模型_电费收入(元),物理模型_电费成本(元),物理模型_净收益(元),物理模型_放电电量(kWh),物理模型_充电电量(kWh),物理模型_单位收益(元/kWh),样本模型_电费收入(元),样本模型_电费成本(元),样本模型_净收益(元),样本模型_放电电量(kWh),样本模型_充电电量(kWh),样本模型_单位收益(元/kWh)
2024-12,87347.480667,31076.119508189768,56271.36115881022,103874.3,122192.98328165214,0.541725539029483,60144.68356181408,29610.78764173154,30533.895920082537,71524.523157372,116431.21910086322,0.426901076332942,87347.480667,31076.119508189768,56271.36115881022,103874.3,122192.98328165214,0.541725539029483
2025-01,386023.3025736357,145045.197477181,240978.10509645473,439542.99747680005,517058.3112690039,0.5482469439390262,265803.3088474552,138205.883132157,127597.42571529825,302655.2602683251,492677.46731839795,0.421593286044902,386023.3025736357,145045.197477181,240978.10509645473,439542.99747680005,517058.3112690039,0.5482469439390262
2025-02,330297.827973786,95010.7948321891,235287.03314159685,347057.22118480003,408262.2672404138,0.6779488187520291,227432.528024167,90530.75203635542,136901.77598781156,238972.51055906422,389011.4817650198,0.5728766696534958,330297.827973786,95010.7948321891,235287.03314159685,347057.22118480003,408262.2672404138,0.6779488187520291
2025-03,342206.876876,117287.09692924461,224919.77994675533,328394.6,386308.4118745912,0.6849070598199707,235632.71848502863,111756.65994500324,123876.05854002539,226122.02606858395,368092.81626100343,0.5478283592879765,342206.876876,117287.09692924461,224919.77994675533,328394.6,386308.4118745912,0.6849070598199707
2025-04,387969.82946700003,131797.45064252472,256172.3788244753,373662.3,439559.26708419406,0.6855719156695105,267143.6250552265,125582.80713487724,141560.81792034916,257291.91753289194,418832.7345746974,0.5501953550571683,387969.82946700003,131797.45064252472,256172.3788244753,373662.3,439559.26708419406,0.6855719156695105
2025-05,518712.74803660886,180438.15604207158,338274.59199453704,494718.8822476,581964.7026030368,0.6837713378913143,357169.02023858123,171929.95797365665,185239.06226492478,340647.61110022065,554523.3284104391,0.5437850031199142,518712.74803660886,180438.15604207158,338274.59199453704,494718.8822476,581964.7026030368,0.6837713378913143
2025-06,503972.9035727534,176541.65087709742,327431.2526956556,479243.9174332,563760.6606325962,0.6832246394473959,347019.6344261996,168217.18466698474,178802.4497592149,329992.04490890016,537177.6613986415,0.5418386670762816,503972.9035727534,176541.65087709742,327431.2526956556,479243.9174332,563760.6606325962,0.6832246394473959
2025-07,428697.68527276744,182064.9166602453,246632.76861252205,492742.66989559995,579639.9766324268,0.5005305683487438,295187.52490080625,173480.01196916852,121707.51293163777,339286.8544343802,552308.2202138446,0.3587156747777171,428697.68527276744,182064.9166602453,246632.76861252205,492742.66989559995,579639.9766324268,0.5005305683487438
2025-08,394049.3444166423,157287.78402162084,236761.56039502146,497424.9575604,585148.0060328157,0.47597442950230856,271329.78474825236,149871.19514955327,121458.5895986991,342510.9280744477,557556.5295742307,0.3546123047271036,394049.3444166423,157287.78402162084,236761.56039502146,497424.9575604,585148.0060328157,0.47597442950230856
2025-09,396372.4674624561,164593.40833421782,231779.05912823827,457503.26302320004,538185.9475336554,0.5066172809274253,272929.41303058725,156832.33745220053,116097.0755783866,315022.1251134892,512808.8724199735,0.36853625927563566,396372.4674624561,164593.40833421782,231779.05912823827,457503.26302320004,538185.9475336554,0.5066172809274253
2025-10,511083.25574600004,170476.54272754223,340606.7130184579,484388.6,569812.6302812427,0.7031683095317641,351915.59568584186,162438.06448457934,189477.5312012625,333534.5089003439,542944.2625997036,0.5680897362793608,511083.25574600004,170476.54272754223,340606.7130184579,484388.6,569812.6302812427,0.7031683095317641
2025-11,447097.96699799993,140707.04311691542,306390.92388108466,433175.69999999995,509568.1132688063,0.7073132769938034,307857.3708237975,134072.28570906114,173785.08511473643,298270.9427246279,485540.45452888525,0.5826416865392741,447097.96699799993,140707.04311691542,306390.92388108466,433175.69999999995,509568.1132688063,0.7073132769938034
2025-12,312323.5970550001,117077.47767044201,195246.119384558,374744.4,460354.976684657,0.521011439756159,215056.04706991103,111556.92486043493,103499.12220947618,258037.017008976,438647.8643458434,0.40110183960883367,312323.5970550001,117077.47767044201,195246.119384558,374744.4,460354.976684657,0.521011439756159
