日期,主口径_等效次数,窗口数量,physics_等效次数(窗口法),sample_等效次数(窗口法),主口径_净收益(元),主口径_充电电量(kWh),主口径_放电电量(kWh),原始最大需量(kW),储能后最大需量(kW)
2024-12-25,1.8344420342251142,2,1.2631381560000001,1.8344420342251142,8073.698872534513,17906.700984843847,15222.199999999999,2296.0,7295.022222222223
2024-12-26,1.4276693179079296,2,0.9830474640000002,1.4276693179079296,6553.283127569304,13936.034556584993,11846.800000000001,2419.2,7278.222222222223
2024-12-27,1.633598457459629,2,1.425778956,1.633598457459629,7904.91377237506,15946.1888472198,13555.6,2847.6,6693.022222222223
2024-12-28,2.0,2,1.708135002,2.0,8809.066602039045,19522.77657266811,16596.0,2990.4,8025.822222222223
2024-12-29,2.0,2,1.846827496,2.0,8809.066602039045,19522.77657266811,16596.0,9531.2,9531.2
2024-12-30,2.0,2,1.636340706,2.0,8809.066602039045,19522.776572668114,16596.0,8430.8,12096.966222222221
2024-12-31,1.6011930585683296,2,1.1025303659999999,1.6011930585683296,7312.265580214211,15835.729174999171,13461.7,2618.0,7642.222222222223
2025-01-01,1.8961436490720658,2,1.4612114160000003,1.8961436490720658,8178.859631436808,18508.99440525877,15734.199999999997,2654.4,7681.422222222222
2025-01-02,1.8262349333333332,2,1.7872754880694144,1.8262349333333332,7485.682418553268,17826.588286334052,15154.0974768,8988.0,12103.810666666668
2025-01-03,2.0,2,1.896839542,2.0,8736.47731983514,19522.77657266811,16596.0,2676.8,7491.022222222223
2025-01-04,2.0,2,1.7140016880000002,2.0,9047.96107983514,19522.77657266811,16596.0,2290.4,7068.222222222223
2025-01-05,1.7584478187515062,2,1.4006858040000005,1.7584478187515062,8417.639252965779,17164.891940090623,14591.6,1979.6,6793.822222222223
2025-01-06,1.5905639913232104,2,1.09521153,1.5905639913232104,6472.93232259015,15526.112713567123,13198.5,2184.0,6911.422222222222
2025-01-07,1.7015907447577727,2,1.35892197,1.7015907447577727,8455.711622335082,16609.887964012963,14119.8,1968.4,6914.222222222223
2025-01-08,2.0,2,1.9319815720000002,2.0,8680.213811835141,19522.77657266811,16596.0,2522.8,7633.822222222223
2025-01-09,1.7132321041214749,2,1.491108832,1.7132321041214749,7940.743949603682,16723.52379294281,14216.400000000001,2525.6,7558.222222222223
2025-01-10,2.0,2,1.720897048,2.0,8697.612003835142,19522.77657266811,16596.0,2469.6,7479.822222222223
2025-01-11,2.0,2,1.7856798120000001,2.0,9024.669951835142,19522.77657266811,16596.0,2153.2,7099.022222222223
2025-01-12,1.737274041937816,2,1.5076633419999999,1.737274041937816,8565.88326035405,16958.206483124017,14415.9,2895.2,8017.422222222222
2025-01-13,2.0,2,2.0,2.0,8583.68190783514,19522.77657266811,16596.0,2987.6,7944.622222222222
2025-01-14,1.9093637020968908,2,1.626158782,1.9093637020968908,8792.717788672475,18638.040476000016,15843.9,2455.6,7577.822222222223
2025-01-15,1.3858279103398408,2,0.9542368079999999,1.3858279103398408,6723.668269105436,13527.604330866121,11499.600000000002,1993.6,7037.422222222222
2025-01-16,2.0,2,2.0,2.0,9266.360503835142,19522.77657266811,16596.0,9214.8,8263.822222222223
2025-01-17,2.0,2,2.0,2.0,8814.20795183514,19522.77657266811,16596.0,2906.4,7684.222222222223
2025-01-18,2.0,2,1.5894072179999998,2.0,8962.03245183514,19522.77657266811,16596.0,2993.2,8009.022222222223
