日期,序号,类型(充/放),起始小时,结束小时,持续小时数,是否被阈值过滤,合并到窗口,是否跨零点合并
2024-12-25,0,充,0,24,7,False,c1,True
2024-12-25,1,放,6,12,6,False,c1,True
2024-12-25,2,充,12,14,2,False,c2,True
2024-12-25,3,放,15,23,8,False,c2,True
2024-12-26,0,充,0,24,7,False,c1,True
2024-12-26,1,放,6,12,6,False,c1,True
2024-12-26,2,充,12,14,2,False,c2,True
2024-12-26,3,放,15,23,8,False,c2,True
2024-12-27,0,充,0,24,7,False,c1,True
2024-12-27,1,放,6,12,6,False,c1,True
2024-12-27,2,充,12,14,2,False,c2,True
2024-12-27,3,放,15,23,8,False,c2,True
2024-12-28,0,充,0,24,7,False,c1,True
2024-12-28,1,放,6,12,6,False,c1,True
2024-12-28,2,充,12,14,2,False,c2,True
2024-12-28,3,放,15,23,8,False,c2,True
2024-12-29,0,充,0,24,7,False,c1,True
2024-12-29,1,放,6,12,6,False,c1,True
2024-12-29,2,充,12,14,2,False,c2,True
2024-12-29,3,放,15,23,8,False,c2,True
2024-12-30,0,充,0,24,7,False,c1,True
2024-12-30,1,放,6,12,6,False,c1,True
2024-12-30,2,充,12,14,2,False,c2,True
2024-12-30,3,放,15,23,8,False,c2,True
2024-12-31,0,充,0,24,7,False,c1,True
2024-12-31,1,放,6,12,6,False,c1,True
2024-12-31,2,充,12,14,2,False,c2,True
2024-12-31,3,放,15,23,8,False,c2,True
2025-01-01,0,充,0,24,7,False,c1,True
2025-01-01,1,放,6,12,6,False,c1,True
2025-01-01,2,充,12,14,2,False,c2,True
2025-01-01,3,放,15,23,8,False,c2,True
2025-01-02,0,充,0,24,7,False,c1,True
2025-01-02,1,放,6,12,6,False,c1,True
2025-01-02,2,充,12,14,2,False,c2,True
2025-01-02,3,放,15,23,8,False,c2,True
2025-01-03,0,充,0,24,7,False,c1,True
2025-01-03,1,放,6,12,6,False,c1,True
2025-01-03,2,充,12,14,2,False,c2,True
2025-01-03,3,放,15,23,8,False,c2,True
2025-01-04,0,充,0,24,7,False,c1,True
2025-01-04,1,放,6,12,6,False,c1,True
2025-01-04,2,充,12,14,2,False,c2,True
2025-01-04,3,放,15,23,8,False,c2,True
2025-01-05,0,充,0,24,7,False,c1,True
2025-01-05,1,放,6,12,6,False,c1,True
2025-01-05,2,充,12,14,2,False,c2,True
2025-01-05,3,放,15,23,8,False,c2,True
2025-01-06,0,充,0,24,7,False,c1,True
2025-01-06,1,放,6,12,6,False,c1,True
2025-01-06,2,充,12,14,2,False,c2,True
2025-01-06,3,放,15,23,8,False,c2,True
2025-01-07,0,充,0,24,7,False,c1,True
2025-01-07,1,放,6,12,6,False,c1,True
2025-01-07,2,充,12,14,2,False,c2,True
2025-01-07,3,放,15,23,8,False,c2,True
2025-01-08,0,充,0,24,7,False,c1,True
2025-01-08,1,放,6,12,6,False,c1,True
2025-01-08,2,充,12,14,2,False,c2,True
2025-01-08,3,放,15,23,8,False,c2,True
2025-01-09,0,充,0,24,7,False,c1,True
