年月,主口径_等效次数,窗口数量,physics_等效次数(窗口法),sample_等效次数(窗口法),有效天数(天),主口径_净收益(元),主口径_等效净收益(元),主口径_充电电量(kWh),主口径_放电电量(kWh),原始最大需量(kW),储能后最大需量(kW)
2024-12,12.496902868161001,14,9.965798146000001,12.496902868161003,7,56271.36115881022,249201.742274731,122192.98328165215,103874.3,9531.2,12096.966222222221
2025-01,52.9546875725235,62,43.454475942069415,52.9546875725235,30,240978.10509645473,249010.7085996699,517058.3112690039,439542.9974768,9214.8,12103.810666666668
2025-02,41.8242011550735,56,35.43429970273319,41.82420115507351,28,235287.03314159685,235287.03314159688,408262.2672404138,347057.22118480003,10200.4,12097.24
2025-03,39.575150638708116,62,32.685884214,39.57515063870812,31,224919.77994675533,224919.77994675533,386308.41187459114,328394.6,4732.0,9732.917556382661
2025-04,45.03040491684743,60,40.016219018,45.03040491684743,30,256172.3788244753,256172.37882447528,439559.267084194,373662.3,10127.6,12111.476444444444
2025-05,59.61905064444446,62,58.985752746819955,59.61905064444444,31,338274.59199453704,338274.59199453704,581964.7026030369,494718.8822476,10715.6,12122.01688888889
2025-06,57.73305825900217,60,56.02987084361822,57.73305825900217,30,327431.2526956556,327431.2526956556,563760.6606325964,479243.9174332,10323.6,12121.880000000001
2025-07,59.380895383899734,62,56.847963672880695,59.380895383899734,31,246632.76861252205,246632.76861252205,579639.976632427,492742.6698956,8817.2,12121.811555555556
2025-08,59.945162395806214,62,56.25338246802603,59.94516239580622,31,236761.56039502146,236761.56039502146,585148.0060328156,497424.9575604,8358.0,12122.153777777778
2025-09,55.13416040289226,60,52.17757850988286,55.13416040289226,30,231779.05912823827,231779.05912823827,538185.9475336554,457503.2630232,12160.4,12160.4
2025-10,58.374138346589525,62,51.047968556,58.37413834658954,31,340606.7130184579,340606.7130184579,569812.6302812428,484388.6,6498.8,11514.622222222222
2025-11,52.20242227042661,60,45.636469902,52.20242227042661,29,306390.92388108466,316956.12815284624,509568.1132688063,433175.7,7630.0,11805.822222222223
2025-12,45.16080983369487,48,43.078691324,45.16080983369486,24,195246.119384558,252192.90420505407,460354.976684657,374744.4,10508.4,11850.622222222222
